시점,합계출산율(명),조사망률(천명당),총전입 (명),사망률 (십만명당),기대수명(출생시 기대여명),출생아수(명),사망자수(명),자연증가건수(명),조출생률(천명당),자연증가율(천명당),출생성비(명),영아사망률(출생아 천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),기대수명(출생시 기대여명) - 남,기대수명(출생시 기대여명) - 여
1970,4.53,8,4046536,-,62.3,1006645,258589,748056,31.2,23.2,109.5,-,295137,9.2,11615,0.4,58.7,65.8
1971,4.54,7.2,4210164,-,62.7,1024773,237528,787245,31.2,23.9,109,-,239457,7.3,11361,0.3,59.1,66.3
1972,4.12,6.3,3687938,-,63.1,952780,210071,742709,28.4,22.2,109.5,-,244780,7.3,12188,0.4,59.4,66.8
1973,4.07,7.8,4860418,-,63.5,965521,267460,698061,28.3,20.5,104.6,-,259112,7.6,12719,0.4,59.7,67.3
1974,3.77,7.2,5297969,-,63.9,922823,248807,674016,26.6,19.4,109.4,-,259604,7.5,14073,0.4,60,67.8
1975,3.43,7.7,9011440,-,64.2,874030,270657,603373,24.8,17.1,112.4,-,283226,8,16453,0.5,60.3,68.2
1976,3,7.4,6773250,-,64.6,796331,266857,529474,22.2,14.8,110.7,-,285910,8,17178,0.5,60.6,68.6
1977,2.99,6.8,7397623,-,65,825339,249254,576085,22.7,15.8,104.2,-,303156,8.3,20280,0.6,60.9,69.1
1978,2.64,6.8,8410276,-,65.3,750728,252298,498430,20.3,13.5,111.3,-,343013,9.3,19734,0.5,61.1,69.5
1979,2.9,6.4,7324380,-,65.6,862669,239986,622683,23,16.6,106.4,-,353824,9.4,17178,0.5,61.4,69.9
1980,2.82,7.3,8258573,-,66.1,862835,277284,585551,22.6,15.4,105.3,-,403031,10.6,23662,0.6,61.9,70.4
1981,2.57,6.1,8194516,-,66.7,867409,237481,629928,22.4,16.3,107.1,-,406795,10.5,24278,0.6,62.4,70.9
1982,2.39,6.2,8616474,-,67.2,848312,245767,602545,21.6,15.3,106.8,-,387468,9.9,26124,0.7,62.9,71.5
1983,2.06,6.4,9795811,637.8,67.7,769155,254563,514592,19.3,12.9,107.3,-,412984,10.3,28549,0.7,63.4,71.9
1984,1.74,5.9,9043238,585.2,68.3,674793,236445,438348,16.7,10.8,108.3,-,385188,9.5,35772,0.9,64,72.6
1985,1.66,5.9,8679097,589.2,68.9,655489,240418,415071,16.1,10.2,109.4,-,384686,9.4,38187,0.9,64.6,73.2
1986,1.58,5.8,8660428,580.5,69.5,636019,239256,396763,15.4,9.6,111.7,-,390229,9.5,39132,0.9,65.3,73.8
1987,1.53,5.9,9308750,585,70.1,623831,243504,380327,15,9.1,108.8,-,390276,9.4,42268,1,65.9,74.3
1988,1.55,5.6,9969020,561,70.7,633092,235779,397313,15.1,9.5,113.2,-,410129,9.8,42757,1,66.5,74.8
1989,1.56,5.6,9316219,557.9,71.2,639431,236818,402613,15.1,9.5,111.8,-,410708,9.7,44017,1,67,75.3
1990,1.57,5.6,9459209,563.6,71.7,649738,241616,408122,15.2,9.5,116.5,-,399312,9.3,45694,1.1,67.5,75.9
1991,1.71,5.6,8980841,559.6,72.2,709275,242270,467005,16.4,10.8,112.4,-,416872,9.6,49205,1.1,67.9,76.4
1992,1.76,5.4,9031576,539.8,72.6,730678,236162,494516,16.7,11.3,113.6,-,419774,9.6,53539,1.2,68.4,76.8
1993,1.654,5.2,8807058,523.5,73.1,715826,234257,481569,16,10.8,115.3,-,402593,9,59313,1.3,68.9,77.3
1994,1.656,5.4,8791714,536.3,73.5,721185,242439,478746,16,10.6,115.2,-,393121,8.7,65015,1.4,69.3,77.7
1995,1.634,5.3,9073069,532.1,73.8,715020,242838,472182,15.7,10.3,113.2,-,398484,8.7,68279,1.5,69.7,77.9
1996,1.574,5.2,8854973,523.5,74.2,691226,241149,450077,15,9.8,111.5,-,434911,9.4,79895,1.7,70.2,78.3
1997,1.537,5.3,8819909,526.5,74.7,675394,244693,430701,14.5,9.3,108.2,-,388960,8.4,91160,2,70.7,78.7
1998,1.464,5.2,8156318,524.8,75.1,641594,245825,395769,13.7,8.4,110.1,-,373500,8,116294,2.5,71.2,79
1999,1.425,5.3,9435347,525.3,75.5,620668,247734,372934,13.2,7.9,109.5,-,360407,7.6,117449,2.5,71.8,79.2
2000,1.48,5.2,9009441,523.3,76,640089,248740,391349,13.5,8.2,110.1,-,332090,7,119455,2.5,72.3,79.7
2001,1.309,5.1,9289949,509.2,76.5,559934,243813,316121,11.7,6.6,109,5.4,318407,6.7,134608,2.8,72.9,80.1
2002,1.178,5.1,9584461,514.3,76.8,496911,247524,249387,10.3,5.2,109.9,5.1,304877,6.3,144910,3,73.4,80.3
2003,1.191,5.1,9516605,510.2,77.3,495036,246463,248573,10.2,5.1,108.6,5.1,302503,6.3,166617,3.4,73.8,80.8
2004,1.164,5.1,8567795,507.8,77.8,476958,246220,230738,9.8,4.8,108.2,4.7,308598,6.4,138932,2.9,74.3,81.2
2005,1.085,5.1,8795397,505.1,78.2,438707,245874,192833,9,4,107.8,4.2,314304,6.5,128035,2.6,74.9,81.6
2006,1.132,5,9342074,499.4,78.8,451759,244162,207597,9.2,4.2,107.6,3.8,330634,6.8,124524,2.5,75.4,82.1
2007,1.259,5,9070102,501.7,79.2,496822,246482,250340,10.1,5.1,106.2,3.4,343559,7,124072,2.5,75.9,82.5
2008,1.192,5,8808256,498.2,79.6,465892,246113,219779,9.4,4.4,106.4,3.4,327715,6.6,116535,2.4,76.2,83
2009,1.149,5,8487275,497.3,80,444849,246942,197907,9,4,106.4,3.2,309759,6.2,123999,2.5,76.7,83.4
2010,1.226,5.1,8226594,512,80.2,470171,255405,214766,9.4,4.3,106.9,3.2,326104,6.5,116858,2.3,76.8,83.6
2011,1.244,5.1,8127195,513.6,80.6,471265,257396,213869,9.4,4.3,105.7,3,329087,6.6,114284,2.3,77.3,84
2012,1.297,5.3,7506691,530.8,80.9,484550,267221,217329,9.6,4.3,105.7,2.9,327073,6.5,114316,2.3,77.6,84.2
2013,1.187,5.3,7411784,526.6,81.4,436455,266257,170198,8.6,3.4,105.3,3,322807,6.4,115292,2.3,78.1,84.6
2014,1.205,5.3,7629098,527.3,81.8,435435,267692,167743,8.6,3.3,105.3,3,305507,6,115510,2.3,78.6,85
2015,1.239,5.4,7755286,541.5,82.1,438420,275895,162525,8.6,3.2,105.3,2.7,302828,5.9,109153,2.1,79,85.2
2016,1.172,5.5,7378430,549.4,82.4,406243,280827,125416,7.9,2.5,105,2.8,281635,5.5,107328,2.1,79.3,85.4
2017,1.052,5.6,7154226,557.3,82.7,357771,285534,72237,7,1.4,106.3,2.8,264455,5.2,106032,2.1,79.7,85.7
2018,0.977,5.8,7297099,582.5,82.7,326822,298820,28002,6.4,0.5,105.4,2.8,257622,5,108684,2.1,79.7,85.7
2019,0.918,5.7,7104398,574.8,83.3,302676,295110,7566,5.9,0.1,105.5,2.7,239159,4.7,110831,2.2,80.3,86.3
2020,0.837,5.9,7735491,593.9,83.5,272337,304948,-32611,5.3,-0.6,104.8,2.5,213502,4.2,106500,2.1,80.5,86.5
2021,0.808,6.2,7213422,618.9,83.6,260562,317680,-57118,5.1,-1.1,105.1,2.4,192507,3.8,101673,2,80.6,86.6
