age00,age05,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100
888742,702784,583690,552182,638525,672886,614459,620474,549311,483469,438615,407855,356438,267031,184558,115256,64871,26603,7918,1510,171
988611,934672,734477,610846,590609,694191,722031,644106,642741,556147,474737,420180,377172,312865,217513,133515,73224,28680,7914,1334,135
1088625,1027164,975402,765166,667654,651736,737391,751412,657100,645067,546263,455753,391434,333299,258743,158729,87040,33601,8930,1434,127
1158798,1129315,1062936,1008980,814410,720088,687712,759963,761354,654917,630094,524962,424614,349065,276058,190873,104941,41260,10981,1717,148
1238526,1253113,1238268,1109888,1131283,903357,785912,729849,804649,786363,651631,608195,497358,383655,289937,199594,115536,49902,13671,2159,184
1265969,1243747,1282555,1230584,1159828,1151652,927172,812376,745267,789145,755472,626767,572681,447284,328913,218637,138257,56608,17257,2873,246
1129308,1291720,1269933,1302046,1265440,1205624,1177925,933822,798661,732616,763863,723810,589675,522921,381689,252456,146998,73616,21697,4193,387
1192438,1173157,1334608,1302416,1342277,1314591,1249832,1220736,953725,805383,726978,746416,697070,545789,459223,305598,175743,81707,29890,5498,597
1255771,1256568,1234158,1387532,1356155,1415652,1390963,1309144,1253165,968012,810041,719704,728103,653293,488822,372690,219057,99817,33577,7595,781
1297817,1291173,1292178,1270079,1416151,1378285,1457805,1421995,1331463,1248826,957353,792511,703997,682029,586207,404149,276553,130661,43461,9242,1148
1278736,1355277,1331858,1304730,1257098,1445322,1403267,1523624,1436758,1331089,1263362,938418,781454,669197,628649,506640,294247,170378,58116,11855,1359
1268643,1326915,1402768,1389916,1412622,1325946,1512110,1453874,1557662,1450152,1320637,1242900,917192,748034,616726,545086,399153,190170,79653,16600,1784
1461885,1358193,1396476,1490940,1641863,1652804,1484974,1624259,1528034,1577102,1462188,1301237,1211195,891926,698109,548214,439407,266635,93049,23665,2532
1564345,1530483,1425386,1490214,1682182,1790475,1778121,1590320,1664281,1566266,1569212,1449556,1276578,1148069,842975,628420,467164,302156,134193,28517,3586
1669707,1639267,1610574,1519906,1594568,1780886,1875461,1842883,1628711,1677349,1558324,1549411,1418526,1232661,1083379,762997,522945,329050,156557,42382,4337
1649258,1733760,1707816,1691255,1609062,1679054,1853338,1930176,1874155,1639410,1668609,1540289,1519047,1374262,1169704,989529,643988,375387,174636,50291,6726
